Country,Product,Units Sold,Manufacturing_Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month_Name,Year
United Kingdom,Vermont,3561,10,7,24927,276.15,24650.85,19725,4925.85,01-01-2020,January,2020
United Kingdom,Vermont,1823,10,15,27345,344.4,27000.6,22960,4040.6,01-02-2020,February,2020
United Kingdom,Vermont,2795,10,7,19565,72.1,19492.9,5150,14342.9,01-05-2020,May,2020
United Kingdom,Burlington,457,120,7,3199,44.73,3154.27,3195,-40.73,01-11-2020,November,2020
Japan,Mandarin,3785,250,7,26495,92.82,26402.18,6630,19772.18,01-03-2020,March,2020
United States of America,Kensington,748,3,12,8976,222.96,8753.04,5574,3179.04,01-02-2020,February,2020
Brazil,Kensington,1021,3,350,357350,4235,353115,314600,38515,01-03-2020,March,2020
United States of America,Kensington,2076,3,7,14532,177.03,14354.97,12645,1709.97,01-07-2020,July,2020
Japan,Kensington,4316,3,12,51792,173.4,51618.6,4335,47283.6,01-09-2020,September,2020
United States of America,Kensington,2654,3,125,331750,412.5,331337.5,39600,291737.5,01-09-2018,September,2020
United Kingdom,Kensington,4174,3,12,50088,320.52,49767.48,8013,41754.48,01-09-2020,September,2020
India,Kensington,1675,3,12,20100,91.92,20008.08,2298,17710.08,01-10-2018,October,2020
Brazil,Kensington,1572,3,300,471600,1482,470118,123500,346618,01-10-2018,October,2020
Brazil,Kensington,3736,3,350,1307600,4889.5,1302710.5,363220,939490.5,01-10-2020,October,2020
United Kingdom,Kensington,1914,3,350,669900,7542.5,662357.5,560300,102057.5,01-12-2020,December,2020
Brazil,Royal Oak,2742,5,15,41130,332.1,40797.9,22140,18657.9,01-03-2020,March,2020
United States of America,Royal Oak,1499,5,300,449700,6903,442797,575250,-132453,01-04-2020,April,2020
United Kingdom,Royal Oak,3772,5,20,75440,275.1,75164.9,13755,61409.9,01-07-2020,July,2020
Japan,Royal Oak,1112,5,7,7784,128.1,7655.9,9150,-1494.1,01-08-2020,August,2020
United States of America,Royal Oak,1723,5,300,516900,7494,509406,624500,-115094,01-09-2018,September,2020
United States of America,Royal Oak,423,5,125,52875,828.75,52046.25,79560,-27513.75,01-10-2018,October,2020
United States of America,Vermont,2368,10,15,35520,227.1,35292.9,15140,20152.9,01-02-2020,February,2020
United States of America,Vermont,1586,10,7,11102,314.48,10787.53,22462.5,-11674.98,01-04-2020,April,2020
United States of America,Vermont,3386,10,125,423250,908.75,422341.25,87240,335101.25,01-06-2020,June,2020
United Kingdom,Vermont,852,10,125,106500,983.75,105516.25,94440,11076.25,01-06-2020,June,2020
Brazil,Vermont,2783,10,125,347875,2278.75,345596.25,218760,126836.25,01-07-2020,July,2020
India,Vermont,2684,10,15,40260,112.05,40147.95,7470,32677.95,01-09-2020,September,2020
India,Vermont,4393,10,12,52716,91.92,52624.08,2298,50326.08,01-10-2018,October,2020
United States of America,Vermont,4083,10,300,1224900,8715,1216185,726250,489935,01-11-2020,November,2020
United Kingdom,Vermont,2816,10,350,985600,7542.5,978057.5,560300,417757.5,01-12-2020,December,2020
United Kingdom,Burlington,4294,120,20,85880,772.8,85107.2,38640,46467.2,01-04-2020,April,2020
Brazil,Burlington,2856,120,7,19992,25.34,19966.66,1810,18156.66,01-05-2020,May,2020
Japan,Burlington,1407,120,125,175875,1153.75,174721.25,110760,63961.25,01-08-2020,August,2020
United States of America,Burlington,3850,120,125,481250,828.75,480421.25,79560,400861.25,01-10-2018,October,2020
Japan,Burlington,2856,120,7,19992,146.44,19845.56,10460,9385.56,01-11-2018,November,2020
India,Mandarin,1265,250,7,8855,18.41,8836.59,1315,7521.59,01-03-2020,March,2020
Japan,Mandarin,3892,250,350,1362200,3302.25,1358897.75,245310,1113587.75,01-04-2020,April,2020
United States of America,Mandarin,3068,250,125,383500,908.75,382591.25,87240,295351.25,01-06-2020,June,2020
United Kingdom,Mandarin,2181,250,125,272625,983.75,271641.25,94440,177201.25,01-06-2020,June,2020
India,Mandarin,1356,250,300,406800,2958,403842,246500,157342,01-09-2020,September,2020
Brazil,Mandarin,2545,250,300,763500,1482,762018,123500,638518,01-10-2018,October,2020
Brazil,Mandarin,1814,250,350,634900,4889.5,630010.5,363220,266790.5,01-10-2020,October,2020
United Kingdom,Mandarin,1495,250,125,186875,2180,184695,209280,-24585,01-11-2020,November,2020
United States of America,Luxe,1154,260,12,13848,238.68,13609.32,5967,7642.32,01-09-2018,September,2020
United Kingdom,Luxe,4180,260,15,62700,48.15,62651.85,3210,59441.85,01-11-2018,November,2020
Japan,Kensington,1463,3,125,182875,1856.25,181018.75,89100,91918.75,01-04-2020,April,2020
Japan,Kensington,215,3,12,2580,310.8,2269.2,3885,-1615.8,01-10-2020,October,2020
India,Kensington,4099,3,300,1229700,1284,1228416,53500,1174916,01-10-2018,October,2020
United Kingdom,Kensington,2660,3,7,18620,300.3,18319.7,10725,7594.7,01-11-2018,November,2020
Japan,Kensington,566,3,350,198100,19964,178136,741520,-563384,01-12-2020,December,2020
United States of America,Royal Oak,3255,5,12,39060,274.08,38785.92,3426,35359.92,01-06-2020,June,2020
United States of America,Royal Oak,772,5,20,15440,626.4,14813.6,15660,-846.4,01-10-2020,October,2020
Brazil,Royal Oak,1135,5,12,13620,165.6,13454.4,2070,11384.4,01-11-2020,November,2020
Brazil,Royal Oak,3826,5,125,478250,4150,474100,199200,274900,01-11-2018,November,2020
Japan,Vermont,1193,10,15,17895,708.9,17186.1,23630,-6443.9,01-02-2020,February,2020
United Kingdom,Vermont,2530,10,300,759000,5508,753492,229500,523992,01-05-2020,May,2020
India,Vermont,3451,10,300,1035300,10368,1024932,432000,592932,01-05-2020,May,2020
United States of America,Vermont,3059,10,12,36708,274.08,36433.92,3426,33007.92,01-06-2020,June,2020
Brazil,Vermont,3957,10,125,494625,1655,492970,79440,413530,01-06-2020,June,2020
Japan,Vermont,3444,10,12,41328,310.8,41017.2,3885,37132.2,01-10-2020,October,2020
India,Vermont,4388,10,125,548500,2022.5,546477.5,97080,449397.5,01-10-2018,October,2020
Brazil,Vermont,2106,10,125,263250,5362.5,257887.5,257400,487.5,01-10-2018,October,2020
United Kingdom,Vermont,799,10,12,9588,428.4,9159.6,5355,3804.6,01-11-2018,November,2020
Japan,Vermont,3154,10,300,946200,11496,934704,479000,455704,01-12-2020,December,2020
Japan,Vermont,4108,10,350,1437800,19964,1417836,741520,676316,01-12-2020,December,2020
Japan,Vermont,3760,10,125,470000,6822.5,463177.5,327480,135697.5,01-12-2020,December,2020
United States of America,Vermont,377,10,15,5655,577.5,5077.5,19250,-14172.5,01-12-2018,December,2020
United States of America,Vermont,2110,10,7,14770,281.82,14488.18,10065,4423.18,01-12-2018,December,2020
United Kingdom,Vermont,2334,10,12,28008,253.2,27754.8,3165,24589.8,01-12-2020,December,2020
Brazil,Vermont,580,10,12,6960,260.16,6699.84,3252,3447.84,01-12-2020,December,2020
United States of America,Burlington,2610,120,20,52200,626.4,51573.6,15660,35913.6,01-10-2020,October,2020
India,Burlington,1598,120,350,559300,20762,538538,771160,-232622,01-10-2018,October,2020
India,Burlington,1459,120,350,510650,20139,490511,748020,-257509,01-10-2020,October,2020
India,Burlington,3284,120,125,410500,2022.5,408477.5,97080,311397.5,01-10-2018,October,2020
Brazil,Burlington,1197,120,125,149625,5362.5,144262.5,257400,-113137.5,01-10-2018,October,2020
United Kingdom,Burlington,3774,120,12,45288,253.2,45034.8,3165,41869.8,01-12-2020,December,2020
Brazil,Burlington,2303,120,20,46060,217.6,45842.4,5440,40402.4,01-12-2018,December,2020
Brazil,Burlington,2572,120,12,30864,260.16,30603.84,3252,27351.84,01-12-2020,December,2020
Brazil,Mandarin,320,250,125,40000,1655,38345,79440,-41095,01-06-2020,June,2020
India,Mandarin,2126,250,300,637800,1284,636516,53500,583016,01-10-2018,October,2020
India,Mandarin,3275,250,350,1146250,20139,1126111,748020,378091,01-10-2020,October,2020
Japan,Mandarin,3582,250,125,447750,6822.5,440927.5,327480,113447.5,01-12-2020,December,2020
United States of America,Mandarin,783,250,350,274050,1862,272188,69160,203028,01-12-2018,December,2020
Brazil,Mandarin,1202,250,350,420700,13580,407120,504400,-97280,01-12-2018,December,2020
India,Luxe,4056,260,300,1216800,1554,1215246,64750,1150496,01-03-2020,March,2020
Brazil,Luxe,2144,260,300,643200,6606,636594,275250,361344,01-03-2020,March,2020
India,Luxe,3502,260,125,437750,5690,432060,273120,158940,01-05-2020,May,2020
India,Luxe,1397,260,350,488950,20762,468188,771160,-302972,01-10-2018,October,2020
United States of America,Luxe,679,260,20,13580,494.4,13085.6,12360,725.6,01-11-2020,November,2020
